FoodName,FoodID,Energy (kcal),Protein,Protein from Amino Acids,Carbohydrates,Dietary fibre,Fat,Alcohol,Salt,Vitamin A,beta-Carotene,Vitamin D,Vitamin D3,Vitamin E,Vitamin K,Thiamin (Vitamin B1),Riboflavin (Vitamin B2),Niacin equivalent,Niacin,Vitamin B6,Pantothenic acid,Biotin,Folate,"Folate, free",Vitamin B12,Vitamin C,Ascorbic acid,Sodium,Potassium,Calcium,Magnesium,Iron,Copper,Zinc,Sum sugars,Starch/Glycogen,Sum saturated fatty acids,Sum monounsaturated fatty acids,Sum polyunsaturated fatty acids,Sum trans fatty acids,Sum n-3 fatty acids,Sum n-6 fatty acids,Cholesterol,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine,Arginine,Histidine,Glycine,Proline
"Endive (escarole), raw",585,14,1.3,0.9,0.2,3.1,0.2,0.0,0.1,205.00,1230.00,0.00,0.00,0.60,,0.08,0.08,0.48,0.40,0.02,0.90,,142.0,,0.0,6.5,6.5,22,314,52,15,0.83,0.10,0.79,1.1,0,0.047,0.004,0.089,0.000,0.013,0.076,0.0,70.0,94.0,60.0,13.4,9.6,50.0,38.0,48.0,4.8,60.0,60.0,22.0,56.0,56.0
"Pollack, raw",587,71,17.4,,0.0,0.0,0.2,0.0,0.2,0.00,0.00,1.41,1.41,0.68,0.00,0.02,0.05,1.04,1.04,0.08,0.12,1.7,,,1.2,0.5,0.5,63,368,10,27,0.20,0.03,0.26,0.0,0,0.020,0.010,0.100,,0.050,0.000,50.0,,,,,,,,,,,,,,
"Plain cake, frangipani cake",588,430,5.2,4.7,58.5,1.9,19.0,0.0,0.5,177.00,,0.60,,3.30,,0.10,0.10,2.85,1.80,0.00,,,14.0,,0.2,0.0,,180,139,108,29,0.90,,0.70,41.0,17.5,6.800,6.700,3.300,,0.500,,,273.6,428.6,246.2,118.6,100.3,291.8,136.8,191.5,62.9,310.1,255.4,127.7,191.5,437.8
"Caviar, Danish (roe, lump-sucker)",589,106,13.3,10.4,0.4,0.0,5.7,0.0,5.4,10.08,6.50,3.80,3.80,10.25,,0.77,0.66,3.63,1.15,0.26,,,22.0,,19.5,10.0,10.0,2158,77,20,4,0.54,0.04,1.18,0.0,0,1.121,1.427,2.752,,2.549,0.204,312.0,742.9,1125.0,1040.1,318.4,110.4,488.2,530.7,488.2,148.6,849.1,679.3,275.9,445.8,700.5
"Pizza Napolitana, frozen",590,181,8.6,,21.9,2.1,6.1,0.0,1.0,94.17,205.00,,,,,0.22,0.14,1.33,0.57,0.09,0.12,,,,0.3,,,385,165,140,18,1.80,0.08,1.15,4.6,17.3,2.600,2.600,0.500,0.029,,,,,,,,,,,,45.4,,,,,
"Lettuce, looseleaf, raw",591,15,1.4,1.0,1.5,1.3,0.2,0.0,0.1,190.00,1140.00,0.00,0.00,0.30,,0.07,0.08,0.53,0.38,0.09,0.13,,83.2,,0.0,18.0,18.0,28,194,36,13,0.86,0.03,0.18,1.6,0,0.019,0.006,0.080,0.000,0.056,0.023,0.0,87.2,82.8,87.2,16.8,16.8,56.7,32.7,61.0,9.4,74.1,74.1,24.0,58.9,50.1
"Split peas, dry, raw",592,347,22.0,17.0,56.4,7.4,2.1,0.0,0.1,2.50,15.00,0.00,0.00,0.00,81.00,0.82,0.18,5.55,2.50,0.08,2.00,0.5,33.0,21.0,0.0,1.0,1.0,26,1115,38,82,5.50,0.69,3.80,2.4,39.4,0.376,0.158,1.146,0.000,0.197,0.948,0.0,915.2,1408.0,1513.6,165.4,147.8,915.2,528.0,739.2,183.0,1161.6,2041.6,492.8,844.8,880.0
"Persimmon, kaki fruit, raw",593,87,0.7,0.5,17.5,5.9,0.3,0.0,0.0,69.96,419.75,0.00,0.00,1.80,,0.03,0.02,0.29,0.10,0.03,,,8.0,,0.0,25.0,25.0,10,208,18,11,0.15,0.11,0.05,15.2,0,0.060,0.100,0.200,0.000,0.010,0.120,0.0,28.6,47.6,38.1,5.7,14.8,29.6,18.0,33.8,11.6,33.8,28.6,13.7,28.6,25.4
"Ling, fillet, raw",594,80,19.5,,0.0,0.0,0.2,0.0,0.2,3.00,0.00,0.00,0.00,,0.00,0.01,0.03,1.20,1.20,,,,,,,0.0,0.0,72,,20,,0.70,,0.40,0.0,0,0.020,0.010,0.100,,0.050,0.000,,,,,,,,,,,,,,,
"Sole, raw",595,85,18.7,16.5,0.1,0.0,1.1,0.0,0.3,0.00,0.00,8.00,8.00,1.03,0.00,0.07,0.08,6.99,3.50,0.17,0.30,44.5,10.0,5.0,0.8,1.7,1.7,120,351,29,25,0.60,0.03,0.08,0.0,0,0.186,0.269,0.425,,0.364,0.061,50.0,987.4,1585.8,1825.1,538.6,209.4,777.9,658.2,897.6,209.4,1077.1,1196.8,538.6,867.7,777.9
"Tomato, peeled, canned",596,21,1.1,0.8,3.1,0.9,0.3,0.0,0.4,58.67,352.00,0.00,0.00,0.74,,0.05,0.06,0.76,0.58,0.11,0.23,1.5,24.0,4.0,0.0,11.3,11.3,143,188,31,11,0.97,0.11,0.30,2.3,0,0.055,0.036,0.149,0.000,0.014,0.135,0.0,52.6,45.3,52.6,12.7,9.4,30.8,41.7,30.8,11.1,32.6,41.7,18.1,32.6,36.3
"Meat balls, average values",597,145,8.8,,6.0,0.0,9.5,0.0,1.5,0.00,0.00,0.50,,0.50,0.00,0.16,0.18,3.50,3.50,0.13,,,7.7,,0.7,0.0,0.0,590,140,28,22,1.15,0.07,1.30,0.0,6,3.900,4.000,0.600,0.091,0.100,,33.0,,,,,,,,,,,,,,
"Fish balls, fried",598,153,13.7,11.6,8.9,0.9,6.7,0.0,1.4,0.00,0.00,0.55,0.55,1.39,0.00,0.07,0.12,3.68,1.30,0.09,0.28,2.8,,,1.6,0.0,0.0,545,277,50,24,0.42,0.05,0.49,0.8,8.4,1.126,3.355,1.693,,0.533,1.160,40.0,681.0,1142.4,1252.2,395.4,57.1,571.2,483.3,615.1,142.8,812.9,681.0,307.6,703.0,725.0
"Endive (frisee), raw",599,18,1.3,0.9,2.4,0.9,0.2,0.0,0.1,205.00,1230.00,0.00,0.00,0.60,,0.08,0.08,0.48,0.40,0.02,0.90,,142.0,,0.0,13.0,13.0,22,314,52,15,0.80,0.10,0.79,1.6,0,0.047,0.004,0.089,0.000,0.013,0.076,0.0,72.8,97.8,62.4,13.9,10.0,52.0,39.5,49.9,5.0,62.4,62.4,22.9,58.2,58.2
"Lettuce, Cos or romaine, raw",600,17,1.2,0.7,2.3,1.6,0.0,0.0,0.0,118.53,711.17,0.00,0.00,0.29,14.55,0.06,0.06,0.53,0.31,0.07,0.11,2.5,114.0,,0.0,10.7,9.4,10,259,25,11,0.48,0.03,0.24,1.4,0,0.004,0.001,0.016,0.000,0.011,0.005,0.0,23.9,61.7,55.7,0.0,7.0,33.5,12.5,41.6,13.1,47.9,54.0,4.2,37.4,29.6
"Pikeperch, raw",601,87,19.2,,0.9,0.0,0.7,0.0,0.1,0.00,0.00,0.70,0.70,1.35,0.00,0.16,0.25,3.19,2.31,,,,,,,1.0,1.0,57,340,54,29,0.30,0.01,0.40,0.5,0,0.396,0.226,0.028,,0.028,0.000,61.5,,,,,,,,,53.0,,,,,
"Potatoes, mashed, instant powder without dry milk",602,350,8.2,6.2,70.6,14.9,0.5,0.0,0.2,0.00,0.00,0.00,0.00,,,0.19,0.30,6.28,4.20,0.86,0.35,,30.0,,0.0,37.0,37.0,81,1171,70,75,3.30,0.37,1.40,5.7,64.9,0.387,,,0.000,,,0.0,302.5,447.1,473.4,111.8,67.1,328.8,157.8,276.2,124.9,486.6,341.9,144.7,236.7,289.3
"Redfish, ocean perch, raw",603,84,18.9,,0.0,0.0,0.9,0.0,0.3,3.00,0.00,0.00,,0.90,0.00,0.05,0.05,1.20,1.20,,,,,,,0.0,0.0,113,323,23,,0.77,,,0.0,0,0.177,0.343,0.178,,0.156,0.022,48.0,,,,,,,,,,,,,,
"Spring roll with minced beef and white cabbage, deepfried, fast food",604,203,6.1,,21.4,2.4,9.8,0.0,1.4,4.40,9.00,,,,,0.07,0.05,,,,,,,,,,,571,206,33,17,0.77,0.05,0.73,2.4,15.6,2.280,4.523,2.140,0.085,0.439,1.702,,,,,,,,,,,,,,,
"Carrot, raw",606,33,0.4,0.3,6.4,3.1,0.0,0.0,0.1,1135.83,6815.00,0.00,0.00,0.21,1.44,0.01,0.03,0.41,0.41,0.07,0.18,3.0,12.4,15.0,0.0,2.5,,49,260,32,14,0.20,0.04,0.15,3.8,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,32.1,29.6,0.0,4.0,0.0,11.6,20.3,0.0,28.6,21.5,0.0,22.2,0.0
"Cod, liver, smoked",607,624,5.1,3.2,1.0,0.0,66.6,0.0,1.5,5100.00,0.00,100.00,100.00,20.00,,0.10,0.65,3.25,2.50,0.15,0.64,,300.0,,22.0,4.0,4.0,589,130,10,8,4.00,0.66,1.94,0.0,1,14.276,31.584,16.145,,14.059,2.086,,187.7,318.2,301.9,106.1,89.8,179.5,146.9,195.8,44.9,244.8,253.0,89.8,195.8,155.0
"Cod, liver, raw",608,624,5.1,3.2,1.0,0.0,66.6,0.0,1.5,5100.00,0.00,100.00,100.00,20.00,,0.10,0.65,3.25,2.50,0.15,0.64,,300.0,,10.0,4.0,4.0,589,130,10,8,4.00,0.66,1.94,0.0,1,14.276,31.584,16.145,,14.059,2.086,,187.7,318.2,301.9,106.1,89.8,179.5,146.9,195.8,44.9,244.8,253.0,89.8,195.8,155.0
"Nectarine, raw",610,42,0.8,0.5,9.1,1.5,0.0,0.0,0.0,25.00,150.00,0.00,0.00,0.66,,0.01,0.00,0.68,0.62,0.00,0.18,0.4,5.0,,0.0,3.1,2.6,0,214,7,9,0.14,0.07,0.12,7.8,0,0.020,0.080,0.120,0.000,0.020,0.100,0.0,6.8,10.5,12.0,4.5,3.7,8.3,5.2,6.8,3.7,9.7,6.8,6.0,8.3,7.5
"Pike, raw",611,90,19.0,,0.7,0.0,1.2,0.0,0.1,6.00,0.00,0.90,0.90,0.70,0.00,0.08,0.04,1.50,1.50,0.15,,,,,24.0,3.0,3.0,53,368,50,29,0.30,0.02,0.96,0.0,0,0.678,0.374,0.072,,0.018,0.054,39.0,,,,,,,,,,,,,,
"Salad dressing, oil and vinegar, low calorie",612,49,0.3,,8.5,0.0,1.5,0.0,2.9,0.33,2.00,0.00,,0.30,,0.00,0.00,0.00,0.00,0.00,,,0.0,,0.0,0.0,,1140,6,12,6,0.00,,0.00,9.2,0,0.100,0.900,0.400,0.000,0.100,,,,,,,,,,,,,,,,
"Squash, all varieties, raw",614,17,1.6,1.1,1.5,1.2,0.2,0.0,0.0,23.33,140.00,0.00,0.00,0.10,,0.03,0.14,0.74,0.49,0.10,0.16,,48.0,,0.0,17.0,17.0,5,274,29,19,0.61,0.05,0.30,2.2,0,0.047,0.016,0.097,0.000,0.061,0.036,0.0,56.8,95.5,87.8,23.2,16.5,56.8,41.3,38.7,15.0,72.3,67.1,33.6,59.4,51.6
"Wheat bread, with whole kernels",615,231,6.9,,41.0,8.2,2.6,0.0,1.5,0.00,0.00,,,,,0.40,0.30,1.35,,,,,,,,,,608,270,225,52,4.52,,1.36,0.5,40.5,,,,0.000,,,,340.0,580.0,190.0,130.0,150.0,410.0,190.0,230.0,81.0,390.0,310.0,180.0,320.0,890.0
"Avocado, raw",616,155,1.6,1.2,0.5,5.5,15.1,0.0,0.0,11.17,67.01,0.00,0.00,1.94,13.66,0.04,0.11,1.60,1.22,0.14,0.97,4.8,99.3,31.0,0.0,2.9,,2,434,15,29,0.47,0.25,0.54,1.1,0.05,2.819,7.820,1.769,0.000,0.055,1.715,0.0,61.4,110.6,104.1,18.9,24.0,64.7,50.2,65.9,23.0,82.8,69.3,40.9,74.7,62.4
Wheat bran,617,291,16.2,13.5,24.6,40.2,5.3,0.0,0.1,0.00,0.00,0.00,0.00,1.60,83.00,0.89,0.36,3.41,29.60,1.38,2.40,24.0,140.0,,0.0,0.0,0.0,28,1340,75,480,19.00,1.10,7.70,2.4,22.1,0.877,0.704,2.765,0.000,0.178,2.587,0.0,537.5,1049.4,691.1,256.0,435.1,665.5,511.9,563.1,204.8,793.4,1254.2,486.3,1023.8,998.2
"Beet, red, canned",621,60,1.0,0.5,12.4,2.0,0.3,0.0,0.5,1.17,7.00,0.00,0.00,0.08,0.20,0.01,0.04,0.25,0.16,0.05,0.10,0.0,37.0,69.0,0.0,4.1,4.1,194,330,23,15,0.70,0.21,0.31,12.0,0,0.057,0.031,0.152,0.000,0.026,0.127,0.0,19.2,20.8,22.4,4.6,0.6,9.3,8.2,17.6,5.3,25.6,19.2,10.4,17.6,11.0
"Lentils, brown, dried, raw",622,336,25.1,,48.9,11.2,2.0,0.0,0.0,3.92,23.52,,,,,,,,,,,,,,,,,1,,70,,6.51,,,1.2,44.5,0.200,0.300,0.800,0.000,,,,,,,,,,,,,,,,,
"Tomato, imported, ripe, raw",624,33,1.1,0.8,5.1,2.1,0.4,0.0,0.0,165.33,992.00,0.00,0.00,0.50,7.90,0.04,0.02,0.91,0.73,0.09,0.04,2.3,31.0,,0.0,18.0,18.0,13,252,7,11,0.24,0.04,0.09,3.2,0,0.073,0.048,0.199,0.000,0.018,0.181,0.0,51.0,44.0,51.0,12.3,9.2,29.9,40.5,29.9,10.7,31.7,40.5,17.6,31.7,35.2
"Lobster, boiled",625,90,18.7,16.6,0.3,0.0,1.5,0.0,3.1,1.00,0.00,0.00,0.00,2.20,0.00,0.05,0.02,4.99,1.50,0.21,1.63,5.0,17.0,7.0,0.5,0.0,0.0,1240,135,85,47,0.80,1.70,1.80,0.0,0.3,0.216,0.351,0.528,0.023,0.479,0.049,129.0,867.7,1615.7,1466.1,538.6,239.4,748.0,688.2,867.7,209.4,897.6,1555.8,359.0,1226.7,807.8
"Lobster, canned",626,90,18.7,16.6,0.3,0.0,1.5,0.0,3.1,1.00,0.00,0.00,0.00,2.20,0.00,0.05,0.02,4.99,1.50,0.21,1.63,5.0,17.0,7.0,0.5,0.0,0.0,1240,135,85,47,0.80,1.70,1.80,0.0,0.3,0.216,0.351,0.528,0.023,0.479,0.049,129.0,867.7,1615.7,1466.1,538.6,239.4,748.0,688.2,867.7,209.4,897.6,1555.8,359.0,1226.7,807.8
"Butterhead lettuce (US), cabbage lettuce (UK), raw",627,14,1.3,0.8,0.8,1.3,0.4,0.0,0.0,240.00,1440.00,0.00,0.00,0.30,130.00,0.08,0.10,0.75,0.50,0.08,0.20,0.7,83.2,24.0,0.0,9.0,9.0,18,320,52,17,0.65,0.05,0.51,2.1,0.02,0.055,0.009,0.181,0.000,0.105,0.076,0.0,47.0,71.6,55.2,11.7,1.8,40.9,20.4,40.9,15.1,65.4,49.1,19.6,42.9,40.9
"Margarine, 70 % fat, table use, soft, vegetable fat",628,681,0.8,,10.6,0.0,70.6,0.0,1.4,840.00,360.00,0.00,0.00,32.50,0.00,0.01,0.03,0.21,0.02,0.00,0.08,0.0,2.0,2.0,0.1,0.0,0.0,550,38,10,2,0.09,0.00,0.05,0.0,0,21.393,20.933,23.544,0.000,2.040,21.503,0.0,46.0,74.0,60.0,19.0,7.0,38.0,38.0,34.0,11.0,51.0,28.0,21.0,16.0,74.0
"Cabbage, red, canned",629,75,1.0,0.6,16.3,2.1,0.2,0.0,0.8,4.17,25.00,0.00,0.00,0.07,149.00,0.07,0.05,0.73,0.60,0.11,0.32,0.1,35.0,23.0,0.0,20.0,20.0,300,100,39,6,0.83,0.03,0.55,5.0,0.1,0.039,0.012,0.110,0.000,0.035,0.075,0.0,27.2,30.4,30.4,7.5,0.6,17.6,11.5,12.3,7.5,44.8,41.6,16.0,20.8,36.8
"Lychee, raw",630,71,0.8,,15.2,1.3,0.4,0.0,0.0,0.00,0.00,0.00,0.00,0.07,,0.01,0.07,0.72,0.60,,,,,,0.0,71.5,71.5,1,171,5,10,0.31,0.15,0.07,15.2,0,0.099,0.120,0.132,0.000,,,0.0,,,41.2,9.0,,,,,7.0,,,,,
"Pizza, frozen, average values",631,190,8.9,,23.8,1.9,6.1,0.0,0.9,94.17,205.00,,,,,0.22,0.14,1.35,0.57,0.09,0.12,,,,0.3,9.3,4.3,361,194,160,19,1.73,0.08,1.15,4.6,19.2,2.600,2.600,0.500,0.029,,,,,,,,,,,,47.0,,,,,
"Pomegranate, raw",632,67,1.0,,13.2,4.0,0.3,0.0,0.0,0.00,0.00,0.00,0.00,0.92,,0.03,0.03,0.30,0.30,0.11,0.60,,10.0,,0.0,6.1,6.1,3,259,3,3,0.30,0.07,0.20,13.7,0,0.090,0.230,0.130,0.000,0.020,0.110,0.0,,,,,,,,,,,,,,
"Guava, common, raw",633,42,0.9,,6.3,4.9,0.5,0.0,0.0,4.17,25.00,0.00,0.00,,,0.04,0.04,1.21,1.08,0.08,0.45,,,,0.0,176.0,176.0,2,198,10,10,0.26,0.23,0.19,3.8,0.1,0.130,0.042,0.192,0.000,0.054,0.138,0.0,32.3,58.9,25.2,5.3,,2.1,10.7,33.7,7.4,29.5,22.4,7.4,43.5,26.6
"Spotted wolffish, fillet, raw",634,107,16.0,13.3,0.0,0.0,4.8,0.0,0.3,18.00,0.00,1.30,1.30,2.40,0.00,0.18,0.05,5.27,2.50,0.35,0.57,,1.0,1.0,2.2,0.0,0.0,105,282,35,25,1.00,,,0.0,0,0.937,1.435,1.852,,1.561,0.291,58.0,768.0,1254.4,1536.0,512.0,135.7,640.0,563.2,742.4,166.4,896.0,947.2,358.4,742.4,588.8
"Mussels, in water, canned",635,103,17.8,15.4,1.1,0.0,3.0,0.0,2.2,21.10,0.00,0.00,0.00,3.50,0.00,0.01,0.11,4.80,1.00,0.08,,,27.0,,10.2,0.0,0.0,880,98,57,42,8.44,0.16,3.56,0.2,0.9,0.556,0.334,1.001,0.045,1.001,0.000,38.0,856.0,1369.6,1426.7,485.1,285.3,741.9,741.9,827.5,228.3,1112.8,1341.1,428.0,913.1,741.9
"Cape gooseberries, raw",636,51,1.9,,7.2,4.3,0.7,0.0,0.0,121.67,730.00,0.00,0.00,0.70,,0.11,0.04,2.80,2.80,,,,,,0.0,11.0,11.0,1,,9,,0.43,,0.36,7.2,0,0.190,0.120,0.120,0.000,0.070,0.040,0.0,,,,,,,,,,,,,,
"Cheese, unripened, smoked, 10 % fat",637,130,8.6,7.6,3.2,0.0,9.1,0.0,0.6,99.50,45.00,0.15,0.15,0.24,0.00,0.03,0.25,2.20,0.21,0.06,0.27,1.8,2.8,2.0,0.6,1.0,1.0,235,115,89,9,0.03,0.01,0.37,2.8,0,5.726,2.010,0.276,0.497,0.081,0.147,34.0,473.7,798.5,690.2,243.6,31.1,446.6,473.7,297.7,119.1,581.9,270.7,243.6,175.9,906.7
"Bream, raw",639,108,16.7,,1.2,0.0,4.0,0.0,0.1,14.00,0.00,5.50,5.50,1.30,0.00,0.07,0.07,4.00,4.00,,,,,,,0.0,0.0,43,350,63,26,0.44,0.03,0.42,0.0,0,0.928,2.458,0.202,,0.112,0.090,66.0,,,,,,,,,,,,,,
"Heart, beef, raw",641,103,17.7,16.1,1.0,0.0,3.1,0.0,0.2,0.00,0.00,1.00,1.00,0.20,0.00,0.34,0.75,40.10,7.50,0.26,2.50,2.0,20.0,2.0,10.0,2.0,2.0,95,240,4,17,4.20,0.31,1.40,0.0,0.7,1.213,0.636,0.584,0.142,0.209,0.374,150.0,850.5,1616.0,1644.3,453.6,184.3,822.2,652.1,822.2,1956.2,68.0,1105.7,482.0,963.9,822.2
"Pak choi (bok choy), raw",643,15,1.5,1.1,1.2,1.0,0.2,0.0,0.2,300.00,1800.00,0.00,0.00,,,0.04,0.07,0.75,0.50,0.24,0.09,,66.0,,0.0,45.0,45.0,65,252,105,19,0.80,0.02,0.19,1.5,0.4,0.027,0.015,0.096,0.000,0.054,0.042,0.0,84.0,88.8,88.8,8.9,17.0,43.2,28.8,48.0,14.9,64.8,84.0,26.4,43.2,31.2
"Heart, pork, raw",644,102,16.0,14.3,0.0,0.0,4.2,0.0,0.3,6.00,0.00,0.30,0.08,0.20,19.65,0.44,1.00,9.81,6.50,0.44,2.50,18.2,9.0,1.0,2.7,3.0,3.0,107,298,5,21,6.00,0.41,2.10,0.0,0.4,1.202,1.039,1.031,,0.325,0.705,131.0,761.6,1441.6,1577.6,408.0,149.6,680.0,598.4,734.4,198.6,924.8,1060.8,435.2,1006.4,843.2
"Rye bread, dark with high fat seeds and whole kernels, industrially produced",646,215,5.7,4.8,33.5,8.8,4.5,0.0,1.1,0.00,0.00,0.00,0.00,0.20,2.08,0.21,0.07,1.18,0.88,0.20,0.23,7.3,27.7,,0.0,0.0,0.0,425,257,32,63,1.72,0.25,1.59,3.5,29.7217391304348,0.471,0.878,2.374,0.000,0.633,1.742,0.0,223.8,389.2,243.2,95.3,88.5,272.4,145.9,214.1,71.0,330.8,321.1,145.9,272.4,505.9
"Walnuts, dried",647,693,14.1,12.9,10.3,7.0,64.6,0.0,0.0,2.17,13.00,0.00,0.00,0.89,3.45,0.25,0.16,3.86,0.56,0.19,0.46,18.0,123.0,,0.0,1.3,1.3,0,380,83,142,2.29,1.05,2.70,2.6,0.2245145,5.506,11.620,44.048,0.000,7.599,36.449,0.0,560.0,1060.0,422.0,253.0,261.0,664.0,475.0,503.0,198.0,690.0,2220.0,358.0,750.0,558.0
"Asparagus, canned",649,16,1.7,1.3,1.4,1.5,0.1,0.0,0.7,82.17,493.00,0.00,0.00,0.25,,0.03,0.04,0.53,0.30,0.11,0.07,0.2,48.0,59.0,0.0,18.4,18.4,288,111,16,7,0.35,0.06,0.44,1.2,0,0.023,0.003,0.054,0.000,0.004,0.050,0.0,50.1,80.7,72.4,20.0,6.1,47.3,39.0,44.5,13.9,80.7,66.8,30.6,58.5,111.4
"Garlic, dried, powder",650,345,16.8,10.0,62.7,9.9,0.8,0.0,0.1,0.00,0.00,0.00,0.00,,,0.47,0.15,3.56,0.69,,,,,,0.0,3.6,3.6,26,1101,80,58,2.75,,2.63,2.4,61.3,0.143,0.018,0.400,0.000,0.032,0.367,0.0,564.5,806.4,725.8,198.9,169.3,483.8,212.4,403.2,172.0,752.6,1666.6,295.7,537.6,263.4
"Pizza with broccoli, frozen",651,194,8.7,,23.6,2.4,6.7,0.0,0.9,41.00,156.00,,,,,0.22,0.14,1.34,0.57,0.09,0.12,,,,0.3,,,345,210,199,20,1.40,0.08,1.15,4.6,19,2.600,2.600,0.500,0.029,,,,,,,,,,,,45.9,,,,,
"Chickory, raddichio, raw",652,24,1.4,,3.6,0.9,0.3,0.0,0.1,0.00,0.00,0.00,0.00,,,0.02,0.03,0.67,0.26,0.06,0.27,,60.0,,0.0,8.0,8.0,22,302,19,13,0.57,0.34,0.62,1.6,0,0.059,0.005,0.111,0.000,0.015,0.095,0.0,84.7,61.8,55.0,8.5,,34.4,,38.9,25.2,64.1,105.3,25.2,,
"Eggs, chicken, dried",653,564,50.7,45.0,4.2,0.0,38.4,0.0,1.4,277.33,41.00,1.80,1.80,8.80,1.20,0.20,1.63,13.91,0.40,0.27,5.68,96.8,171.0,,3.9,0.0,0.0,545,515,237,49,7.07,0.22,5.05,0.6,0,11.050,14.022,6.414,0.090,0.242,6.172,1510.0,3161.0,4457.8,3404.1,1621.0,1215.8,2836.8,2107.3,2512.6,810.5,3647.3,3242.0,1215.8,1702.1,2026.3
"Lobster, raw",654,93,19.6,17.3,0.7,0.0,1.3,0.0,1.3,1.00,0.00,0.00,0.00,1.50,0.00,0.09,0.05,5.66,2.00,0.21,1.50,5.0,17.0,7.0,6.3,3.0,3.0,538,138,48,29,0.30,0.70,4.60,0.0,0.8,0.198,0.320,0.482,0.019,0.438,0.044,129.0,909.4,1693.4,1536.6,564.5,250.9,784.0,721.3,909.4,219.5,940.8,1630.7,376.3,1285.8,846.7
"Norway lobster, raw",655,93,19.6,17.3,0.7,0.0,1.3,0.0,0.9,1.00,0.00,0.00,0.00,1.50,0.00,0.13,0.01,5.66,2.00,0.21,1.50,5.0,17.0,7.0,0.9,3.0,3.0,341,213,48,68,2.00,0.70,4.60,0.0,0.8,0.198,0.320,0.482,0.019,0.438,0.044,95.0,909.4,1693.4,1536.6,564.5,250.9,784.0,721.3,909.4,219.5,940.8,1630.7,376.3,1285.8,846.7
"Crispbread, knackebrot, wheat, coarse",656,371,13.0,11.4,61.1,9.5,6.2,0.0,1.2,52.17,7.00,0.00,0.00,1.40,0.00,0.30,0.30,2.81,3.00,0.29,,,110.8,,0.0,0.0,0.0,484,480,87,104,5.00,0.31,2.20,1.6,59.5,0.938,0.532,2.994,0.000,0.178,2.816,0.0,570.3,958.0,638.7,250.9,162.0,638.7,296.5,524.6,168.8,821.2,707.1,319.3,593.1,1254.6
Curry powder,657,303,12.7,,5.4,53.0,13.8,0.0,0.1,99.00,594.00,0.00,0.00,21.99,,0.25,0.28,3.47,3.47,1.15,,,154.0,,0.0,11.4,11.4,52,1543,478,254,29.59,1.04,4.05,2.8,0,1.600,8.800,3.100,0.000,0.260,2.800,0.0,,,,,,,,,,,,,,
"Norway haddock, fillet, raw",658,90,19.1,,0.0,0.0,1.5,0.0,0.3,3.00,0.00,0.00,,,,,,,,,,,,,,,,113,,,,,,0.30,0.0,0,,,,,,,48.0,,,,,,,,,,,,,,
"Potato crisps, fatreduced",659,488,5.0,3.8,63.5,3.4,23.0,0.0,1.5,0.00,0.00,0.00,0.00,6.10,,0.39,0.08,6.57,5.30,0.48,,,82.0,4.0,0.0,48.4,48.4,606,1050,24,60,1.38,0.26,1.01,0.7,44.2,8.510,9.130,5.530,0.000,0.120,5.350,,184.0,272.0,288.0,68.0,40.8,200.0,96.0,168.0,76.0,296.0,208.0,88.0,144.0,176.0
"Sausage, tongue sausage, saveloy type",660,148,9.8,,4.8,0.0,10.0,0.0,3.0,0.00,0.00,,,,0.00,,,,,,,,,,,0.0,0.0,1214,230,,,1.73,0.15,1.90,0.0,3.8,,,,,,,40.0,,,,,,,,,,,,,,
"Saithe (UK), pollock (US), fillet, frozen",661,91,20.5,,0.3,0.0,0.9,0.0,0.1,6.00,0.00,0.79,0.79,0.76,0.00,0.05,0.10,1.60,1.60,0.12,,,10.0,,1.0,0.3,0.3,40,440,29,14,0.21,0.06,0.34,0.0,0,0.505,0.283,0.038,,0.038,0.000,61.0,,,,,,,,,,,,,,
"Cream, 18 % fat",662,190,2.7,2.4,4.3,0.0,18.0,0.0,0.1,166.17,79.00,0.21,0.21,0.46,0.00,0.04,0.17,0.68,0.07,0.04,0.32,1.4,10.0,3.0,0.4,1.0,1.0,40,140,95,10,0.04,0.01,0.34,3.9,0,11.650,4.850,0.510,,0.140,0.370,59.0,156.5,258.0,241.1,67.7,20.7,135.4,114.2,114.2,36.4,186.1,93.1,76.1,55.0,262.3
"Beans, wax, canned",663,26,1.4,1.0,3.7,1.5,0.3,0.0,0.6,10.00,60.00,0.00,0.00,0.29,,0.02,0.05,0.50,0.20,0.03,0.04,0.5,100.0,8.0,0.0,3.4,3.4,259,98,24,17,0.90,0.05,0.30,1.0,3.1,0.100,0.000,0.200,0.000,,,0.0,53.8,78.4,73.9,18.8,4.9,38.1,31.4,60.5,17.9,69.4,51.5,22.0,42.6,40.3
"Wheat bread, with wheat bran",665,216,9.8,,37.4,5.2,1.9,0.0,1.2,0.00,0.00,0.00,0.00,0.50,0.00,0.45,0.44,1.35,1.00,0.09,0.50,1.9,21.0,,0.0,0.0,0.0,495,326,190,65,4.68,0.22,1.43,0.5,36.9,0.459,0.693,0.478,0.000,0.070,0.408,,340.0,580.0,190.0,130.0,150.0,410.0,190.0,230.0,81.0,390.0,310.0,180.0,320.0,890.0
