FoodName,FoodID,Energy (kcal),Protein,Protein from Amino Acids,Carbohydrates,Dietary fibre,Fat,Alcohol,Salt,Vitamin A,beta-Carotene,Vitamin D,Vitamin D3,Vitamin E,Vitamin K,Thiamin (Vitamin B1),Riboflavin (Vitamin B2),Niacin equivalent,Niacin,Vitamin B6,Pantothenic acid,Biotin,Folate,"Folate, free",Vitamin B12,Vitamin C,Ascorbic acid,Sodium,Potassium,Calcium,Magnesium,Iron,Copper,Zinc,Sum sugars,Starch/Glycogen,Sum saturated fatty acids,Sum monounsaturated fatty acids,Sum polyunsaturated fatty acids,Sum trans fatty acids,Sum n-3 fatty acids,Sum n-6 fatty acids,Cholesterol,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine,Arginine,Histidine,Glycine,Proline
"Barley groats, raw",176,349,9.2,8.4,67.9,9.5,2.4,0.0,0.0,0.00,0.00,0.00,0.00,0.25,,0.16,0.08,1.93,5.50,0.30,0.50,,34.0,9.0,0.0,0.0,0.0,4,329,26,67,2.40,0.12,1.31,0.0,62.2,0.427,0.206,1.096,0.000,0.105,0.991,0.0,411.8,744.5,348.5,158.4,190.1,538.6,269.3,332.6,115.6,570.2,443.5,237.6,364.3,1203.8
Rice starch,179,343,0.8,0.6,85.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,,,0.19,,,,,,,,,,11,,,,,,,0.0,85,0.000,0.000,0.000,0.000,,,,34.8,61.6,29.5,18.8,9.4,42.9,22.8,26.8,11.3,52.3,60.3,17.4,36.2,36.2
Liquorice allsorts,180,395,2.3,,82.1,0.6,6.2,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,47,401,97,48,4.20,0.24,0.38,59.9,6.27,3.600,0.600,0.200,0.000,0.000,0.120,0.0,,,,,,,,,24.7,,,,,
"Danish pastry, square",181,397,4.7,4.1,33.0,1.5,27.0,0.0,0.8,244.00,,0.10,,1.10,,0.10,0.10,1.86,1.10,0.00,,,16.0,,0.2,0.2,,325,139,63,17,0.40,,0.71,17.0,16,9.156,12.456,3.873,,0.674,3.199,,222.8,363.0,132.0,82.5,80.9,239.3,107.3,148.5,45.4,247.5,239.3,107.3,198.0,420.8
"Salad dressing, French",182,469,0.8,0.6,15.6,0.0,44.8,0.0,2.1,38.67,232.00,0.00,0.00,5.00,0.00,0.02,0.05,0.38,0.19,0.00,0.00,,0.0,,0.1,0.0,0.0,836,67,24,5,0.80,0.01,0.29,5.0,0,10.285,8.774,23.780,0.000,0.000,23.780,0.0,43.1,65.2,51.7,19.7,13.5,33.2,33.2,40.6,11.6,48.0,54.1,18.5,23.4,32.0
"Cheese, Danish Blue, 60 % fidm.",183,407,16.3,14.3,1.3,0.0,37.4,0.0,1.8,356.50,159.00,0.34,0.34,0.87,0.00,0.04,0.50,4.74,1.00,0.23,1.73,1.5,36.0,2.0,1.2,0.0,0.0,715,68,702,23,0.08,0.06,4.04,0.1,0,24.288,8.161,0.856,1.268,0.152,0.596,119.0,892.5,1504.5,1300.5,459.0,58.7,841.5,892.5,561.0,224.4,1096.5,510.0,459.0,331.5,1708.5
"Cheese, firm, Fynbo, 45 % fidm.",184,357,25.9,22.8,1.0,0.0,27.7,0.0,1.8,255.33,122.00,0.27,0.27,0.71,0.00,0.05,0.33,6.05,0.10,0.09,0.34,1.5,60.0,1.0,1.4,0.5,0.5,735,65,910,27,0.11,0.09,3.20,0.0,0,17.928,7.458,0.791,,0.210,0.581,91.0,1421.0,2395.4,2070.6,730.8,93.4,1339.8,1421.0,893.2,357.3,1745.8,812.0,730.8,527.8,2720.2
"Eggs, chicken, egg white, pasteurized",187,43,9.0,8.0,1.9,0.0,0.0,0.0,1.1,0.00,0.00,0.00,,0.00,,0.01,0.32,2.41,0.10,0.00,0.14,12.1,16.0,,0.1,0.5,,438,151,9,11,0.03,0.02,0.00,1.0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,547.2,777.6,561.6,345.6,216.0,561.6,360.0,403.2,138.2,676.8,518.4,201.6,331.2,331.2
"Lumpsucker, smoked",188,373,15.6,,0.0,0.0,34.5,0.0,3.7,11.00,0.00,6.00,6.00,,0.00,0.07,0.08,2.00,2.00,,,,,,,0.0,0.0,1466,,20,,0.50,,,0.0,0,7.322,18.804,5.717,,5.182,0.535,,,,,,,,,,,,,,,
"Wheat, kernels, whole/cracked",189,340,10.7,,64.3,11.0,2.0,0.0,0.0,0.00,0.00,0.00,0.00,1.40,30.00,0.35,0.13,1.62,5.60,0.36,1.10,1.9,21.0,,0.0,0.0,0.0,5,384,26,116,3.50,0.32,2.80,0.5,61.38,0.000,0.000,0.000,0.000,0.000,,0.0,360.0,640.0,210.0,140.0,150.0,450.0,190.0,240.0,97.0,420.0,330.0,190.0,310.0,1000.0
Bread-crumbs,192,351,10.7,9.4,70.3,6.9,1.5,0.0,1.1,0.00,0.00,0.00,0.00,0.40,0.00,0.20,0.05,1.86,0.80,0.11,0.60,6.2,39.0,13.0,0.0,0.0,0.0,424,138,50,20,0.70,0.12,0.64,4.0,65.85,0.304,0.335,0.366,0.000,0.047,0.319,0.0,465.3,800.2,260.5,173.1,204.7,558.3,260.5,316.4,111.7,539.7,428.0,241.9,446.6,1228.3
"Apple juice, canned or bottled",194,48,0.1,0.0,11.7,0.0,0.1,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.02,0.11,0.10,0.03,0.06,,0.1,,0.0,0.9,0.9,10,80,9,5,0.30,0.01,0.04,10.2,0,0.028,0.006,0.054,0.000,0.010,0.044,0.0,2.0,3.2,3.0,0.6,0.2,1.6,1.0,1.8,0.6,2.4,1.4,1.0,1.8,1.9
Pearl-sago (potato starch),199,354,0.2,0.2,87.2,0.8,0.3,0.0,0.0,0.00,0.00,0.00,0.00,0.00,,0.01,0.01,0.05,0.15,0.01,,,,,0.0,0.0,0.0,4,33,30,6,1.30,0.13,0.16,0.0,87.2,0.058,0.015,0.167,0.000,0.096,0.072,0.0,7.4,10.9,11.5,2.7,1.6,8.0,3.8,6.7,3.0,11.8,8.3,3.5,5.8,7.0
"Cheese, firm, Maribo, 45 % fidm.",203,361,26.4,23.4,0.0,0.0,28.0,0.0,1.7,258.50,123.00,0.27,0.27,0.71,0.00,0.05,0.33,6.21,0.10,0.09,0.34,1.5,60.0,1.0,1.4,0.5,0.5,684,65,870,27,0.11,0.09,3.20,0.0,0,18.120,7.550,0.790,,0.210,0.580,92.0,1459.2,2459.7,2126.2,750.4,95.9,1375.8,1459.2,917.2,366.9,1792.7,833.8,750.4,542.0,2793.2
"Mustard, brown, ready made",204,146,5.0,,14.4,3.2,6.8,0.0,3.3,0.00,0.00,0.00,0.00,0.30,0.00,0.05,0.03,0.46,,0.07,,,8.0,,0.0,0.0,0.0,1307,130,124,48,1.80,0.09,0.70,10.8,0,0.390,4.430,1.700,0.000,0.740,0.910,0.0,,,,,,,,,,,,,,
"Garlic, raw",205,101,6.6,3.9,16.4,2.0,0.5,0.0,0.0,0.00,0.00,0.00,0.00,0.01,,0.20,0.11,1.82,0.70,1.24,0.60,,103.0,,0.0,8.2,8.2,17,401,21,25,1.70,0.30,1.16,1.6,14.7,0.089,0.011,0.250,0.000,0.020,0.230,0.0,220.6,315.2,283.7,77.7,66.2,189.1,83.0,157.6,67.2,294.2,651.4,115.6,210.1,103.0
"Wine, rosé",206,72,0.2,,1.4,0.0,0.0,9.3,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.10,0.10,0.02,0.04,,0.2,0.2,0.0,0.0,0.0,4,75,12,7,0.95,0.04,0.03,1.4,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,,,,,,,,,,,,,,
"Minced meat in gravy, average values",208,127,8.1,,4.9,0.0,8.3,0.0,1.4,,,,,,,0.06,0.26,3.37,2.20,0.10,0.34,,,,3.1,,,555,190,23,14,1.10,,,3.3,0.9,2.200,3.100,0.700,0.120,,,,,,,,,,,,70.0,,,,,
